problem_idx,circuit_type,sample_idx,success,retries_used,validation_passed,auto_corrected,correction_type,spec_passed,functional_test_name,functional_metric_value,opt_efficiency,robustness_score
1,mzi – mach-zehnder interferometer,0,False,2,False,False,,False,,,0.0,0.0
1,mzi – mach-zehnder interferometer,1,False,2,False,False,,False,,,0.0,0.0
1,mzi – mach-zehnder interferometer,2,False,2,False,False,,False,,,0.0,0.0
2,mzm – mach-zehnder modulator,0,False,2,False,False,,False,,,0.0,0.0
2,mzm – mach-zehnder modulator,1,False,2,False,False,,False,,,0.0,0.0
2,mzm – mach-zehnder modulator,2,False,2,False,False,,False,,,0.0,0.0
10,2x2 optical switch,0,False,2,False,False,,False,,,0.0,0.0
10,2x2 optical switch,1,False,2,False,False,,False,,,0.0,0.0
10,2x2 optical switch,2,False,2,False,False,,False,,,0.0,0.0
4,qpsk modulator,0,False,2,False,False,,False,,,0.0,0.0
4,qpsk modulator,1,False,2,False,False,,False,,,0.0,0.0
4,qpsk modulator,2,False,2,False,False,,False,,,0.0,0.0
7,wdm multiplexer,0,False,2,False,False,,False,,,0.0,0.0
7,wdm multiplexer,1,False,2,False,False,,False,,,0.0,0.0
7,wdm multiplexer,2,False,2,False,False,,False,,,0.0,0.0
23,ring resonator add-drop filter,0,False,2,False,False,,False,,,0.0,0.0
23,ring resonator add-drop filter,1,False,2,False,False,,False,,,0.0,0.0
23,ring resonator add-drop filter,2,False,2,False,False,,False,,,0.0,0.0
5,8-qam modulator,0,False,2,False,False,,False,,,0.0,0.0
5,8-qam modulator,1,False,2,False,False,,False,,,0.0,0.0
5,8-qam modulator,2,False,2,False,False,,False,,,0.0,0.0
11,crossbar 4x4 switch,0,False,2,False,False,,False,,,0.0,0.0
11,crossbar 4x4 switch,1,False,2,False,False,,False,,,0.0,0.0
11,crossbar 4x4 switch,2,False,2,False,False,,False,,,0.0,0.0
20,clements 4x4 interferometer,0,False,2,False,False,,False,,,0.0,0.0
20,clements 4x4 interferometer,1,False,2,False,False,,False,,,0.0,0.0
20,clements 4x4 interferometer,2,False,2,False,False,,False,,,0.0,0.0
