problem_idx,problem_title,sample,success,retry_attempts,failed_stage,pnr_passed,drc_passed,sax_passed,gds_path,code
1,MZI - Mach-Zehnder Interferometer,0,False,2,parsing,False,False,False,,"<analysis>
We need to create a Mach-Zehnder interferometer with a single optical input and output. We will use:
  1. Two MMI1x2 (id: mmi1, mmi2)
  2. One phase shifter (id: phase_shifter)

Component arrangement:
  - MMI1x2 at (0, 0)
  - Phase shifter at (100, 50) - vertical separation 100.0 prevents collision
  - MMI2x1 at (250, 0) - horizontal separation 250.0 provides safe routing space

Port connections:
  - MMI1x2 o2, o3 -> Phase shifter inputs
  - Phase shifter outputs -> MMI2x1 o2, o1 (note reversed order)

Critical: MMI2x1 needs mirror() called AFTER add_ref() to match port orientation.
</analysis>

<result>
import gdsfactory as gf

r = gf.Component()

mmi1 = r.add_ref(gf.components.mmi1x2(delta_length=10.0, length_y=2.0))
mmi1.00,0))

ps = r.add_ref(gf.components.straight_heater_metal(length=10))
ps.move((100, 50))

mmi2 = r.add_ref(gf.components.mmi2x1())
mmi2.0)
mmi2.0250, 0))

gf.routing.route_bundle(
    r,
    [mmi1.02'], mmi1.03']],
    [ps.ports['o1'], ps.ports['o1']],
    cross_section='strip',
    radius=15,
    separation=15
)

gf.routing.route_bundle(
    r,
    [ps.ports['o2'], ps.ports['o2']],
    [mmi2.02'], mmi2.01']],
    cross_section='strip',
    radius=15,
    separation=15
)

r.add_port('o1', port=mmi1.01'])
r.add_port('o2', port=mmi2.03'])

r.draw_ports()
r.plot()
</result>"
1,MZI - Mach-Zehnder Interferometer,1,False,2,parsing,False,False,False,,"<analysis>
We need to create a Mach-Zehnder interferometer with a single optical input and output. We will use:
  1. Two MMI1x2 (id: mmi1, mmi2)
  2. One phase shifter (id: phase_shifter)

Component arrangement:
  - MMI1x2 at (0, 0)
  - MMI1x2 at (100, 0) - 100.0 spacing prevents collision
  - Phase shifter at (200, 0) - horizontal separation 200.0 provides safe routing space

Port connections:
  - MMI1x2 o2, o3 -> Phase shifter inputs
  - Phase shifter outputs -> MMI1x2 o2, o3 (note reversed order)

Critical: Phase shifter needs mirroring for correct orientation.
</analysis>

<result>
import gdsfactory as gf

r = gf.Component()

mmi1 = r.add_ref(gf.components.mmi1x2())
mmi1.00,0))

mmi2 = r.add_ref(gf.components.mmi1x2())
mmi2.0100, 0))

ps = r.add_ref(gf.components.straight_heater_metal(length=10))
ps.move((200, 0))

gf.routing.route_bundle(
    r,
    [mmi1.02'], mmi1.03']],
    [ps.ports['o1'], ps.ports['o1']],
    cross_section='strip',
    radius=15,
    separation=20
)

gf.routing.route_bundle(
    r,
    [ps.ports['o2'], ps.ports['o2']],
    [mmi2.02'], mmi2.03']],
    cross_section='strip',
    radius=15,
    separation=20
)

r.add_port('o1', port=mmi1.01'])
r.add_port('o2', port=mmi2.02'])

r.draw_ports()
r.plot()
</result>"
1,MZI - Mach-Zehnder Interferometer,2,False,2,parsing,False,False,False,,"<analysis>
We need to create a Mach-Zehnder interferometer with a single optical input and output. We will use:
  1. Two MMI1x2 (id: mmi1, mmi2)
  2. One phase shifter (id: phase_shifter)

Component arrangement:
  - MMI1x2 at (0, 0)
  - MMI1x2 at (100, 0) - 100.0 separation to prevent collision
  - Phase shifter at (200, 0) - 100.0 separation to prevent collision

Port connections:
  - MMI1x2 o2, o3 -> Phase shifter inputs
  - Phase shifter outputs -> MMI1x2 o2, o3 (note reversed order)

Critical: Phase shifter needs mirroring for correct orientation.
</analysis>

<result>
import gdsfactory as gf

r = gf.Component()

mmi1 = r.add_ref(gf.components.mmi1x2())
mmi1.00,0))

mmi2 = r.add_ref(gf.components.mmi1x2())
mmi2.0100, 0))

ps = r.add_ref(gf.components.straight_heater_metal(length=10))
ps.move((200, 0))

gf.routing.route_bundle(
    r,
    [mmi1.02'], mmi1.03']],
    [ps.ports['o1'], ps.ports['o1']],
    cross_section='strip',
    radius=15,
    separation=20
)

gf.routing.route_bundle(
    r,
    [ps.ports['o2'], ps.ports['o2']],
    [mmi2.02'], mmi2.03']],
    cross_section='strip',
    radius=15,
    separation=20
)

r.add_port('o1', port=mmi1.01'])
r.add_port('o2', port=mmi2.02'])

r.draw_ports()
r.plot()
</result>"
2,MZM - Mach-Zehnder Modulator,0,False,2,parsing,False,False,False,,"<analysis>
We need to create a Mach-Zehnder Modulator with:
  1. One splitter (MMI 1x2)
  2. Two phase shifters (straight_heater_metal)
  3. One combiner (MMI 2x1, needs mirroring for correct orientation)

Component arrangement:
  - Splitter at (0, 0)
  - Phase shifters at (100, 50) and (100, -50) - vertical separation 100.0 prevents collision
  - Combiner at (250, 0) - horizontal separation 250.0 provides safe routing space

Port connections:
  - Splitter o2, o3 -> Phase shifter inputs
  - Phase shifter outputs -> Combiner o2, o1 (note reversed order after mirroring)

Critical: Combiner needs mirror() called AFTER add_ref() to match port orientation.
</analysis>

<result>
import gdsfactory as gf

r = gf.Component()

mmi_splitter = r.add_ref(gf.components.mmi1x2())
mmi_splitter.move((0,0))

mmi_combiner = r.add_ref(gf.components.mmi2x1())
mmi_combiner.mirror()
mmi_combiner.move((250, 0))

ps1 = r.add_ref(gf.components.straight_heater_metal(length=10))
ps1.0100, 50))

ps2 = r.add_ref(gf.components.straight_heater_metal(length=10))
ps2.0100, -50))

gf.routing.route_bundle(
    r,
    [mmi_splitter.ports['o2'], mmi_splitter.ports['o3']],
    [ps1.01'], ps2.01']],
    cross_section='strip',
    radius=15,
    separation=20
)

gf.routing.route_bundle(
    r,
    [ps1.02'], ps2.02']],
    [mmi_combiner.ports['o2'], mmi_combiner.ports['o1']],
    cross_section='strip',
    radius=15,
    separation=20
)

r.add_port('o1', port=mmi_splitter.ports['o1'])
r.add_port('o2', port=mmi_combiner.ports['o3'])

r.draw_ports()
r.plot()
</result>"
2,MZM - Mach-Zehnder Modulator,1,False,2,parsing,False,False,False,,"<analysis>
We need to create a Mach-Zehnder Modulator with:
  1. One splitter (MMI 1x2)
  2. Two phase shifters (straight_heater_metal)
  3. One combiner (MMI 2x1, needs mirroring for correct orientation)

Component arrangement:
  - Splitter at (0, 0)
  - Phase shifters at (100, 50) and (100, -50) - vertical separation 100.0 prevents collision
  - Combiner at (250, 0) - horizontal separation 250.0 provides safe routing space

Port connections:
  - Splitter o2, o3 -> Phase shifter inputs
  - Phase shifter outputs -> Combiner o2, o1 (note reversed order after mirroring)

Critical: Combiner needs mirror() called AFTER add_ref() to match port orientation.
</analysis>

<result>
import gdsfactory as gf
import math

r = gf.Component()

mmi_splitter = r.add_ref(gf.components.mmi1x2())
mmi_splitter.move((0,0))

mmi_combiner = r.add_ref(gf.components.mmi2x1())
mmi_combiner.mirror()
mmi_combiner.move((250, 0))

ps1 = r.add_ref(gf.components.straight_heater_metal(length=10))
ps1.0100, 50))

ps2 = r.add_ref(gf.components.straight_heater_metal(length=10))
ps2.0100, -50))

gf.routing.route_bundle(
    r,
    [mmi_splitter.ports['o2'], mmi_splitter.ports['o3']],
    [ps1.01'], ps2.01']],
    cross_section='strip',
    radius=15,
    separation=20
)

gf.routing.route_bundle(
    r,
    [ps1.02'], ps2.02']],
    [mmi_combiner.ports['o2'], mmi_combiner.ports['o1']],
    cross_section='strip',
    radius=15,
    separation=20
)

r.add_port('o1', port=mmi_splitter.ports['o1'])
r.add_port('o2', port=mmi_combiner.ports['o3'])

r.draw_ports()
r.plot()
</result>"
2,MZM - Mach-Zehnder Modulator,2,False,2,parsing,False,False,False,,"<analysis>
We need to create a Mach-Zehnder Modulator with:
  1. One splitter (MMI 1x2)
  2. Two phase shifters (straight_heater_metal)
  3. One combiner (MMI 2x1, needs mirroring for correct orientation)

Component arrangement:
  - Splitter at (0, 0)
  - Phase shifters at (100, 50) and (100, -50) - vertical separation 100.0 prevents collision
  - Combiner at (250, 0) - horizontal separation 250.0 provides safe routing space

Port connections:
  - Splitter o2, o3 -> Phase shifter inputs
  - Phase shifter outputs -> Combiner o2, o1 (note reversed order after mirroring)

Critical: Combiner needs mirror() called AFTER add_ref() to match port orientation.
</analysis>

<result>
import gdsfactory as gf
import math

r = gf.Component()

mmi_splitter = r.add_ref(gf.components.mmi1x2())
mmi_splitter.move((0,0))

mmi_combiner = r.add_ref(gf.components.mmi2x1())
mmi_combiner.mirror()
mmi_combiner.move((250, 0))

ps1 = r.add_ref(gf.components.straight_heater_metal(length=10))
ps1.0100, 50))

ps2 = r.add_ref(gf.components.straight_heater_metal(length=10))
ps2.0100, -50))

gf.routing.route_bundle(
    r,
    [mmi_splitter.ports['o2'], mmi_splitter.ports['o3']],
    [ps1.01'], ps2.01']],
    cross_section='strip',
    radius=15,
    separation=20
)

gf.routing.route_bundle(
    r,
    [ps1.02'], ps2.02']],
    [mmi_combiner.ports['o2'], mmi_combiner.ports['o1']],
    cross_section='strip',
    radius=15,
    separation=20
)

r.add_port('o1', port=mmi_splitter.ports['o1'])
r.add_port('o2', port=mmi_combiner.ports['o3'])

r.draw_ports()
r.plot()
</result>"
10,2x2 Optical Switch,0,False,2,parsing,False,False,False,,"<analysis>
We need to create a fundamental 2x2 optical switch using an MZI-based switch cell. We will use:
  1. One MZI cell (id: sw1)
  2. One phase control (id: ctrl1)

Component arrangement:
  - MZI cell at (0, 0)
  - Phase control at (100, 50) - vertical separation 100.0 prevents collision
  - Another MZI cell at (250, 0) - horizontal separation 250.0 provides safe routing space

Port connections:
  - MZI cell o2, o3 -> Phase control inputs
  - Phase control outputs -> MZI cell o2, o3 (note reversed order after mirroring)
  - Another MZI cell o2, o3 -> Phase control outputs (note reversed order after mirroring)

Critical: Phase control needs mirror() called AFTER add_ref() to match port orientation.
</analysis>

<result>
import gdsfactory as gf

r = gf.Component()

sw1 = r.add_ref(gf.components.mzm(delta_length=10.0, length_y=2.0, length_x=200, bend='bend_euler', straight='straight', straight_y='straight', straight_x_top='straight_pin', straight_x_bot='straight_pin', splitter='mmi1x2', combiner='mmi2x1', with_splitter=True, port_e1_splitter='o2', port_e0_splitter='o3', port_e1_combiner='o2', port_e0_combiner='o1', port1='o1', port2='o2', nbends=2, cross_section='strip', cross_section_x_top='strip', cross_section_x_bot='strip', mirror_bot=False, add_optical_ports_arms=False, min_length=0.01, auto_rename_ports=True))
sw1.00,0))

ctrl1 = r.add_ref(gf.components.straight_heater_metal(length=10))
ctrl1.0100, 50))

sw2 = r.add_ref(gf.components.mzm(delta_length=10.0, length_y=2.0, length_x=200, bend='bend_euler', straight='straight', straight_y='straight', straight_x_top='straight_pin', straight_x_bot='straight_pin', splitter='mmi1x2', combiner='mmi2x1', with_splitter=True, port_e1_splitter='o2', port_e0_splitter='o3', port_e1_combiner='o2', port_e0_combiner='o1', port1='o1', port2='o2', nbends=2, cross_section='strip', cross_section_x_top='strip', cross_section_x_bot='strip', mirror_bot=False, add_optical_ports_arms=False, min_length=0.01, auto_rename_ports=True))
sw2.0250, 0))

gf.routing.route_bundle(
    r,
    [sw1.02'], sw1.03']],
    [ctrl1.01'], ctrl1.02']],
    cross_section='strip',
    radius=15,
    separation=20
)

gf.routing.route_bundle(
    r,
    [sw2.02'], sw2.03']],
    [ctrl1.02'], ctrl1.01']],
    cross_section='strip',
    radius=15,
    separation=20
)

r.add_port('o1', port=sw1.01'])
r.add_port('o2', port=sw2.02'])
r.add_port('o3', port=ctrl1.03'])

r.draw_ports()
r.plot()
</result>"
10,2x2 Optical Switch,1,False,2,parsing,False,False,False,,"<analysis>
We need to create a fundamental 2x2 optical switch using an MZI-based switch cell. We will use:
  1. One MZI cell (id: sw1)
  2. One phase control (id: ctrl1)

Component arrangement:
  - MZI cell at (0, 0)
  - Phase control at (100, 0) - horizontal separation 100.0 provides safe routing space

Port connections:
  - MZI cell o1, o2 -> Phase control o1, o2
  - Phase control o2, o1 -> MZI cell o2, o1 (note reversed order)

Critical: Phase control needs mirror() called AFTER add_ref() to match port orientation.
</analysis>

<result>
import gdsfactory as gf

r = gf.Component()

sw1 = r.add_ref(gf.components.mzm(delta_length=10.0, length_y=2.0, length_x=200, bend='bend_euler', straight='straight', straight_y='straight', straight_x_top='straight_pin', straight_x_bot='straight_pin', splitter='mmi1x2', combiner='mmi2x1', with_splitter=True, port_e1_splitter='o2', port_e0_splitter='o3', port_e1_combiner='o2', port_e0_combiner='o1', port1='o1', port2='o2', nbends=2, cross_section='strip',cross_section_x_top='strip', cross_section_x_bot='strip', mirror_bot=False, add_optical_ports_arms=False, min_length=0.01, auto_rename_ports=True))
sw1.00,0))

ctrl1 = r.add_ref(gf.components.straight_heater_metal(length=10))
ctrl1.0100, 0))

gf.routing.route_bundle(
    r,
    [sw1.01'], sw1.02']],
    [ctrl1.01'], ctrl1.02']],
    cross_section='strip',
    radius=15,
    separation=20
)

r.add_port('o1', port=sw1.01'])
r.add_port('o2', port=ctrl1.02'])

r.draw_ports()
r.plot()
</result>"
10,2x2 Optical Switch,2,False,2,parsing,False,False,False,,"<analysis>
We need to create a fundamental 2x2 optical switch using an MZI-based switch cell. We will use:
  1. One MZI cell (id: sw1)
  2. One phase control (id: ctrl1)

Component arrangement:
  - MZI cell at (0, 0)
  - Phase control at (100, 50) - vertical separation 100.0 prevents collision
  - No other components needed

Port connections:
  - MZI cell o1, o2 -> Phase control inputs
  - Phase control outputs -> MZI cell o2, o3 (note reversed order)

Critical: MZI cell needs mirror() called AFTER add_ref() to match port orientation.

</analysis>

<result>
import gdsfactory as gf

r = gf.Component()

sw1 = r.add_ref(gf.components.mzm(delta_length=10.0, length_y=2.0, length_x=200, bend='bend_euler', straight='straight', straight_y='straight', straight_x_top='straight_pin', straight_x_bot='straight_pin', splitter='mmi1x2', combiner='mmi2x1', with_splitter=True, port_e1_splitter='o2', port_e0_splitter='o3', port_e1_combiner='o2', port_e0_combiner='o1', port1='o1', port2='o2', nbends=2, cross_section='strip', cross_section_x_top='strip', cross_section_x_bot='strip', mirror_bot=False, add_optical_ports_arms=True, min_length=0.01, auto_rename_ports=True))
sw1.00,0))

ctrl1 = r.add_ref(gf.components.straight_heater_metal(length=10))
ctrl1.0100, 50))

gf.routing.route_bundle(
    r,
    [sw1.01'], sw1.02']],
    [ctrl1.01'], ctrl1.02']],
    cross_section='strip',
    radius=15,
    separation=20
)

r.add_port('o1', port=sw1.01'])
r.add_port('o2', port=sw1.02'])
r.add_port('o3', port=ctrl1.02'])

r.draw_ports()
r.plot()
</result>"
4,QPSK Modulator,0,False,2,parsing,False,False,False,,"<analysis>
We need to create an optical QPSK transmitter with:
  1. Two Mach-Zehnder Modulators (ids: mzm_i, mzm_q)
  2. One MMI1x2 Splitter (id: splitter)
  3. One MMI2x1 Combiner (id: combiner)
  4. Two phase biasers (ids: pb_i, pb_q)

Component arrangement:
  - Splitter at (0, 0)
  - Phase biasers at (100, 50) and (100, -50) - vertical separation 100.0 prevents collision
  - Mach-Zehnder Modulators at (200, 50) and (200, -50) - horizontal separation 200.0 provides safe routing space
  - Combiner at (350, 0) - horizontal separation 300.0 provides safe routing space

Port connections:
  - Splitter o2, o3 -> Phase biaser inputs
  - Phase biaser outputs -> Mach-Zehnder Modulator inputs
  - Mach-Zehnder Modulator outputs -> Combiner inputs
  - Combiner outputs -> Phase biaser outputs (note reversed order)

Critical: Combiner needs mirror() called AFTER add_ref() to match port orientation.
</analysis>

<result>
import gdsfactory as gf

r = gf.Component()

splitter = r.add_ref(gf.components.mmi1x2())
splitter.move((0,0))

pb_i = r.add_ref(gf.components.straight_heater_metal(length=10))
pb_i.move((100, 50))

pb_q = r.add_ref(gf.components.straight_heater_metal(length=10))
pb_q.move((100, -50))

mzm_i = r.add_ref(gf.components.mzm(delta_length=10.0, length_y=2.0, length_x=200, bend='bend_euler', straight='straight', straight_y='straight', straight_x_top='straight_pin', straight_x_bot='straight_pin', splitter='mmi1x2', combiner='mmi2x1', with_splitter=True, port_e1_splitter='o2', port_e0_splitter='o3', port_e1_combiner='o2', port_e0_combiner='o1', port1='o1', port2='o2', nbends=2, cross_section='strip', cross_section_x_top='strip', cross_section_x_bot='strip', mirror_bot=False, add_optical_ports_arms=False, min_length=0.01, auto_rename_ports=True))
mzm_i.move((200, 50))

mzm_q = r.add_ref(gf.components.mzm(delta_length=10.0, length_y=2.0, length_x=200, bend='bend_euler', straight='straight', straight_y='straight', straight_x_top='straight_pin', straight_x_bot='straight_pin', splitter='mmi1x2', combiner='mmi2x1', with_splitter=True, port_e1_splitter='o2', port_e0_splitter='o3', port_e1_combiner='o2', port_e0_combiner='o1', port1='o1', port2='o2', nbends=2, cross_section='strip', cross_section_x_top='strip', cross_section_x_bot='strip', mirror_bot=False, add_optical_ports_arms=False, min_length=0.01, auto_rename_ports=True))
mzm_q.move((200, -50))

combiner = r.add_ref(gf.components.mmi2x1())
combiner.mirror()
combiner.move((350, 0))

gf.routing.route_bundle(
    r,
    [splitter.ports['o2'], splitter.ports['o3']],
    [pb_i.ports['o1'], pb_q.ports['o1']],
    cross_section='strip',
    radius=15,
    separation=15
)

gf.routing.route_bundle(
    r,
    [pb_i.ports['o2'], pb_q.ports['o2']],
    [mzm_i.ports['o2'], mzm_q.ports['o2']],
    cross_section='strip',
    radius=15,
    separation=15
)

gf.routing.route_bundle(
    r,
    [mzm_i.ports['o2'], mzm_q.ports['o2']],
    [combiner.ports['o2'], combiner.ports['o1']],
    cross_section='strip',
    radius=15,
    separation=15
)

r.add_port('o1', port=splitter.ports['o1'])
r.add_port('o2', port=combiner.ports['o2'])
r.add_port('o3', port=splitter.ports['o3'])
r.add_port('o4', port=pb_i.ports['o2'])
r.add_port('o5', port=pb_q.ports['o2'])
r.add_port('o6', port=mzm_i.ports['o2'])
r.add_port('o7', port=mzm_q.ports['o2'])
r.add_port('o8', port=combiner.ports['o1'])

r.draw_ports()
r.plot()
</result>"
