problem_idx,circuit_type,sample_idx,success,error_type,error_details,code_length
12,crossbar 8x8 switch,2,False,EXECUTION_ERROR,"EXECUTION_ERROR: ""key='sw1' is not a valid port name or index. Available ports: []""",1160
18,spanke–benes 8x8,1,True,,,4458
22,reck 8x8 mesh,0,False,EXECUTION_ERROR,"EXECUTION_ERROR: ""key='o3' is not a valid port name or index. Make sure the instance is an array when giving it a tuple. Available ports: ['o1', 'o2']""",1460
30,y-branch power splitter,0,False,ATTRIBUTE_ERROR,ATTRIBUTE_ERROR: module 'gdsfactory.components' has no attribute 'y_1550',283
30,y-branch power splitter,1,False,ATTRIBUTE_ERROR,ATTRIBUTE_ERROR: module 'gdsfactory.components' has no attribute 'y_1550',285
30,y-branch power splitter,2,False,ATTRIBUTE_ERROR,ATTRIBUTE_ERROR: module 'gdsfactory.components' has no attribute 'y_1550',283
31,wavelength-selective switch 1x8,0,False,ATTRIBUTE_ERROR,ATTRIBUTE_ERROR: module 'gdsfactory.components' has no attribute 'mmi1x8',1168
31,wavelength-selective switch 1x8,1,False,ATTRIBUTE_ERROR,ATTRIBUTE_ERROR: module 'gdsfactory.components' has no attribute 'mmi1x8',1472
31,wavelength-selective switch 1x8,2,False,ATTRIBUTE_ERROR,ATTRIBUTE_ERROR: module 'gdsfactory.components' has no attribute 'mmi1x8',1396
34,simple mmi 1x2 splitter,0,True,,,244
34,simple mmi 1x2 splitter,1,True,,,244
34,simple mmi 1x2 splitter,2,True,,,244
35,simple mmi 2x1 combiner,0,False,ATTRIBUTE_ERROR,ATTRIBUTE_ERROR: module 'gdsfactory.components' has no attribute 'mmi2x1',244
35,simple mmi 2x1 combiner,1,False,ATTRIBUTE_ERROR,ATTRIBUTE_ERROR: module 'gdsfactory.components' has no attribute 'mmi2x1',244
35,simple mmi 2x1 combiner,2,False,ATTRIBUTE_ERROR,ATTRIBUTE_ERROR: module 'gdsfactory.components' has no attribute 'mmi2x1',244
36,straight waveguide with phase shifter,0,True,,,210
36,straight waveguide with phase shifter,1,True,,,226
36,straight waveguide with phase shifter,2,True,,,226
