problem_idx,circuit_type,sample_idx,success,error_type,error_details,code_length
1,direct modulator,0,False,EXECUTION_ERROR,"EXECUTION_ERROR: ""key='o3' is not a valid port name or index. Make sure the instance is an array when giving it a tuple. Available ports: ['o1', 'o2', 'e3', 'e6', 'e10', 'e15', 'e4', 'e5', 'e9', 'e16', 'e1', 'e8', 'e12', 'e13', 'e2', 'e7', 'e11', 'e14']""",474
1,direct modulator,1,False,EXECUTION_ERROR,"EXECUTION_ERROR: ""key='o3' is not a valid port name or index. Make sure the instance is an array when giving it a tuple. Available ports: ['o1', 'o2', 'e3', 'e6', 'e10', 'e15', 'e4', 'e5', 'e9', 'e16', 'e1', 'e8', 'e12', 'e13', 'e2', 'e7', 'e11', 'e14']""",474
1,direct modulator,2,False,EXECUTION_ERROR,"EXECUTION_ERROR: ""key='o3' is not a valid port name or index. Make sure the instance is an array when giving it a tuple. Available ports: ['o1', 'o2', 'e3', 'e6', 'e10', 'e15', 'e4', 'e5', 'e9', 'e16', 'e1', 'e8', 'e12', 'e13', 'e2', 'e7', 'e11', 'e14']""",474
2,8-qam modulator,0,False,MIRROR_ERROR,MIRROR_ERROR: 'Cell' object has no attribute 'mirror',1704
2,8-qam modulator,1,False,MIRROR_ERROR,MIRROR_ERROR: 'Cell' object has no attribute 'mirror',1550
2,8-qam modulator,2,False,MIRROR_ERROR,MIRROR_ERROR: 'Cell' object has no attribute 'mirror',1679
3,mach-zehnder interferometer,0,False,EXECUTION_ERROR,EXECUTION_ERROR: ComponentReference.connect() missing 1 required positional argument: 'other',718
3,mach-zehnder interferometer,1,False,EXECUTION_ERROR,EXECUTION_ERROR: ComponentReference.connect() missing 1 required positional argument: 'other',1141
3,mach-zehnder interferometer,2,False,EXECUTION_ERROR,EXECUTION_ERROR: ComponentReference.connect() missing 1 required positional argument: 'other',1020
4,mach-zehnder modulator,0,False,EXECUTION_ERROR,EXECUTION_ERROR: mmi1x2() got an unexpected keyword argument 'splitter',937
4,mach-zehnder modulator,1,False,EXECUTION_ERROR,EXECUTION_ERROR: mmi1x2() got an unexpected keyword argument 'splitter',938
4,mach-zehnder modulator,2,False,EXECUTION_ERROR,"EXECUTION_ERROR: All ports at the target (end) must have the same angle. r.start.t=r0 110000,-50000/r.end.t=r180 284500,625",942
5,non-linear sign gate,0,False,ROUTING_COLLISION,ROUTING_COLLISION: Routing collision in mmi1x2_WNone_WT1_LT10_L_ddc40e98,1200
5,non-linear sign gate,1,False,ROUTING_COLLISION,ROUTING_COLLISION: Routing collision in mmi1x2_WNone_WT1_LT10_L_ddc40e98,1200
5,non-linear sign gate,2,False,ROUTING_COLLISION,ROUTING_COLLISION: Routing collision in mmi1x2_WNone_WT1_LT10_L_ddc40e98,1067
