problem_idx,problem_title,sample,feedback_round,response
1,Direct Modulator,0,0,"```python
import gdsfactory as gf


def optical_direct_modulator():

    r = gf.Component()

    mzm = r.add_ref(gf.components.mzm(length_x=200))
    mzm.move((0, 0))

    straight = r.add_ref(gf.components.straight(length=10))
    straight.move((250, 0))

    routings = [
        (mzm.ports['o2'], straight.ports['o1']),
    ]

    for p1, p2 in routings:
        gf.routing.route_single(r, port1=p1, port2=p2, cross_section='strip')

    r.add_port(""o1"", port=mzm.ports[""o1""])
    r.add_port(""o2"", port=straight.ports[""o2""])

    r.draw_ports()
    r.plot()

    return r
```"
1,Direct Modulator,1,0,"```python
import gdsfactory as gf


def optical_direct_modulator():

    r = gf.Component()

    mzm = r.add_ref(gf.components.mzm(length_x=200))
    mzm.move((0, 0))

    straight = r.add_ref(gf.components.straight(length=10))
    straight.move((250, 0))

    routings = [
        (mzm.ports['o2'], straight.ports['o1']),
    ]

    for p1, p2 in routings:
        gf.routing.route_single(r, port1=p1, port2=p2, cross_section='strip', radius=5)

    r.add_port(""o1"", port=mzm.ports[""o1""])
    r.add_port(""o2"", port=straight.ports[""o2""])

    r.draw_ports()
    r.plot()

    return r
```"
1,Direct Modulator,2,0,"```python
import gdsfactory as gf


def optical_direct_modulator():

    r = gf.Component()

    mzm = r.add_ref(gf.components.mzm(length_x=200))
    mzm.move((0, 0))

    straight = r.add_ref(gf.components.straight(length=10))
    straight.move((250, 0))

    routings = [
        (mzm.ports['o2'], straight.ports['o1']),
    ]

    for p1, p2 in routings:
        gf.routing.route_single(r, port1=p1, port2=p2, cross_section='strip', radius=5)

    r.add_port(""o1"", port=mzm.ports[""o1""])
    r.add_port(""o2"", port=straight.ports[""o2""])

    r.draw_ports()
    r.plot()

    return r
```"
2,8-QAM Modulator,0,0,"```python
import gdsfactory as gf


def optical_8qam_transmitter():

    r = gf.Component()

    # Instantiate all components
    splitter1 = r.add_ref(gf.components.mmi1x2())
    splitter2 = r.add_ref(gf.components.mmi1x2())

    combiner1 = r.add_ref(gf.components.mmi1x2())
    combiner2 = r.add_ref(gf.components.mmi1x2())
    combiner1.reflect(p1=(0, 0), p2=(1, 0))
    combiner2.reflect(p1=(0, 0), p2=(1, 0))

    mzm_bit1 = r.add_ref(gf.components.mzm(length_x=200))
    mzm_bit2 = r.add_ref(gf.components.mzm(length_x=200))
    mzm_bit3 = r.add_ref(gf.components.mzm(length_x=200))

    # Move parts to avoid overlap
    splitter1.move((0, 0))
    splitter2.move((0, 100))

    mzm_bit1.move((100, 0))
    mzm_bit2.move((100, 50))
    mzm_bit3.move((100, 100))

    combiner1.move((200, 50))
    combiner2.move((200, 150))

    # Connect ports with route_single
    routings = [
        (splitter1.ports['o2'], mzm_bit1.ports['o1']),
        (splitter1.ports['o3'], mzm_bit2.ports['o1']),
        (splitter2.ports['o2'], mzm_bit3.ports['o1']),
        (splitter2.ports['o3'], combiner2.ports['o2']),
        (mzm_bit1.ports['o2'], combiner1.ports['o2']),
        (mzm_bit2.ports['o2'], combiner1.ports['o3']),
        (mzm_bit3.ports['o2'], combiner2.ports['o3']),
        (combiner1.ports['o3'], combiner2.ports['o1']),
    ]

    for p1, p2 in routings:
        gf.routing.route_single(r, port1=p1, port2=p2, cross_section='strip', radius=5)

    # Expose external ports
    r.add_port(""o1"", port=splitter1.ports[""o1""])
    r.add_port(""o2"", port=combiner2.ports[""o3""])

    r.draw_ports()
    r.plot()

    return r
```"
2,8-QAM Modulator,1,0,"```python
import gdsfactory as gf

def qam8_transmitter():
    c = gf.Component()

    # Instantiate all components
    splitter1 = c.add_ref(gf.components.mmi1x2())
    splitter2 = c.add_ref(gf.components.mmi1x2())
    combiner1 = c.add_ref(gf.components.mmi1x2())
    combiner2 = c.add_ref(gf.components.mmi1x2())
    mzm_bit1 = c.add_ref(gf.components.mzm(length_x=100))
    mzm_bit2 = c.add_ref(gf.components.mzm(length_x=100))
    mzm_bit3 = c.add_ref(gf.components.mzm(length_x=100))

    # Move parts to avoid overlap
    splitter1.move((0, 0))
    splitter2.move((0, 150))
    combiner1.move((300, 0))
    combiner2.move((300, 150))
    mzm_bit1.move((100, 50))
    mzm_bit2.move((100, 100))
    mzm_bit3.move((100, 150))

    # Connect ports with route_single
    routings = [
        (splitter1.ports['o2'], mzm_bit1.ports['o1']),
        (splitter1.ports['o3'], mzm_bit2.ports['o1']),
        (splitter2.ports['o2'], mzm_bit3.ports['o1']),
        (mzm_bit1.ports['o2'], combiner1.ports['o2']),
        (mzm_bit2.ports['o2'], combiner1.ports['o3']),
        (mzm_bit3.ports['o2'], combiner2.ports['o2']),
        (combiner1.ports['o1'], combiner2.ports['o3']),
    ]

    for p1, p2 in routings:
        gf.routing.route_single(c, port1=p1, port2=p2, cross_section='strip')

    # Expose external ports
    c.add_port(""o1"", port=splitter1.ports[""o1""])
    c.add_port(""o2"", port=combiner2.ports[""o1""])

    c.draw_ports()
    c.plot()

    return c
```"
2,8-QAM Modulator,2,0,"```python
import gdsfactory as gf

def optical_8qam_transmitter():
    r = gf.Component()

    # Instantiate all components
    splitter1 = r.add_ref(gf.components.mmi1x2())
    splitter2 = r.add_ref(gf.components.mmi1x2())
    combiner1 = r.add_ref(gf.components.mmi1x2())
    combiner2 = r.add_ref(gf.components.mmi1x2())
    mzm_bit1 = r.add_ref(gf.components.mzm(length_x=200))
    mzm_bit2 = r.add_ref(gf.components.mzm(length_x=200))
    mzm_bit3 = r.add_ref(gf.components.mzm(length_x=200))

    # Move parts to avoid overlap
    splitter1.move((0, 0))
    splitter2.move((0, 150))
    combiner1.move((400, 0))
    combiner2.move((400, 150))
    mzm_bit1.move((100, 50))
    mzm_bit2.move((100, 100))
    mzm_bit3.move((100, 150))

    # Connect ports with route_single
    routings = [
        (splitter1.ports['o2'], mzm_bit1.ports['o1']),
        (splitter1.ports['o3'], mzm_bit2.ports['o1']),
        (splitter2.ports['o2'], mzm_bit3.ports['o1']),
        (mzm_bit1.ports['o2'], combiner1.ports['o2']),
        (mzm_bit2.ports['o2'], combiner1.ports['o3']),
        (mzm_bit3.ports['o2'], combiner2.ports['o2']),
        (combiner1.ports['o1'], combiner2.ports['o3']),
    ]

    for p1, p2 in routings:
        gf.routing.route_single(r, port1=p1, port2=p2, cross_section='strip')

    # Expose external ports
    r.add_port(""o1"", port=splitter1.ports[""o1""])
    r.add_port(""o2"", port=combiner2.ports[""o1""])

    r.draw_ports()
    r.plot()

    return r
```"
3,Mach-Zehnder interferometer,0,0,"```python
import gdsfactory as gf


def mzi_with_phase_shifter():
    r = gf.Component()

    # Instantiate all components
    mmi1 = r.add_ref(gf.components.mmi1x2())
    mmi2 = r.add_ref(gf.components.mmi1x2())
    waveguide = r.add_ref(gf.components.straight(length=10))
    phase_shifter = r.add_ref(gf.components.straight_heater_metal(length=10))

    # Move parts to avoid overlap
    mmi2.move((200, 0))
    waveguide.move((100, -20))
    phase_shifter.move((100, 20))

    # Connect ports with route_single
    routings = [
        (mmi1.ports['o2'], phase_shifter.ports['o1']),
        (mmi1.ports['o3'], waveguide.ports['o1']),
        (phase_shifter.ports['o2'], mmi2.ports['o2']),
        (waveguide.ports['o2'], mmi2.ports['o3']),
    ]

    for p1, p2 in routings:
        gf.routing.route_single(r, port1=p1, port2=p2, cross_section='strip', radius=5)

    # Expose external ports
    r.add_port(""o1"", port=mmi1.ports[""o1""])
    r.add_port(""o2"", port=mmi2.ports[""o3""])

    r.draw_ports()
    r.plot()

    return r
```"
3,Mach-Zehnder interferometer,1,0,"```python
import gdsfactory as gf


def mzi_with_phase_shifter():
    r = gf.Component()

    mmi1 = r.add_ref(gf.components.mmi1x2())
    mmi1.move((0, 0))

    mmi2 = r.add_ref(gf.components.mmi1x2())
    mmi2.move((200, 0))

    waveguide = r.add_ref(gf.components.straight(length=10 + 10))
    waveguide.move((100, -20))

    phase_shifter = r.add_ref(gf.components.straight_heater_metal(length=10))
    phase_shifter.move((100, 20))

    routings = [
        (mmi1.ports['o2'], phase_shifter.ports['o1']),
        (mmi1.ports['o3'], waveguide.ports['o1']),
        (mmi2.ports['o2'], phase_shifter.ports['o2']),
        (mmi2.ports['o1'], waveguide.ports['o2']),
    ]

    for p1, p2 in routings:
        gf.routing.route_single(r, port1=p1, port2=p2, cross_section='strip', radius=5)

    r.add_port(""o1"", port=mmi1.ports[""o1""])
    r.add_port(""o2"", port=mmi2.ports[""o3""])

    r.draw_ports()
    r.plot()

    return r
```"
3,Mach-Zehnder interferometer,2,0,"```python
import gdsfactory as gf


def mzi_with_phase_shifter():
    r = gf.Component()

    mmi1 = r.add_ref(gf.components.mmi1x2())
    mmi1.move((0, 0))

    mmi2 = r.add_ref(gf.components.mmi1x2())
    mmi2.move((200, 0))

    phase_shifter = r.add_ref(gf.components.straight_heater_metal(length=10))
    phase_shifter.move((100, 20))

    waveguide = r.add_ref(gf.components.straight(length=10 + 10))
    waveguide.move((100, -20))

    routings = [
        (mmi1.ports['o2'], phase_shifter.ports['o1']),
        (mmi1.ports['o3'], waveguide.ports['o1']),
        (mmi2.ports['o2'], phase_shifter.ports['o2']),
        (mmi2.ports['o1'], waveguide.ports['o2']),
    ]

    for p1, p2 in routings:
        gf.routing.route_single(r, port1=p1, port2=p2, cross_section='strip', radius=5)

    r.add_port(""o1"", port=mmi1.ports[""o1""])
    r.add_port(""o2"", port=mmi2.ports[""o3""])

    r.draw_ports()
    r.plot()

    return r
```"
4,Mach-Zehnder Modulator,0,0,"```python
import gdsfactory as gf


def mzm_cell(L=10):

    r = gf.Component()

    splitter = r.add_ref(gf.components.mmi1x2())
    splitter.move((0, 0))

    combiner = r.add_ref(gf.components.mmi1x2())
    combiner.reflect(p1=(0, 0), p2=(1, 0))
    combiner.move((200, 0))

    phase_shifter1 = r.add_ref(gf.components.straight_heater_metal(length=L))
    phase_shifter1.move((100, 20))

    phase_shifter2 = r.add_ref(gf.components.straight_heater_metal(length=L))
    phase_shifter2.move((100, -20))

    routings = [
        (splitter.ports['o2'], phase_shifter1.ports['o1']),
        (splitter.ports['o3'], phase_shifter2.ports['o1']),
        (combiner.ports['o2'], phase_shifter1.ports['o2']),
        (combiner.ports['o3'], phase_shifter2.ports['o2']),
    ]

    for p1, p2 in routings:
        gf.routing.route_single(r, port1=p1, port2=p2, cross_section='strip', radius=5)

    r.add_port(""o1"", port=splitter.ports[""o1""])
    r.add_port(""o2"", port=combiner.ports[""o1""])

    r.draw_ports()
    r.plot()

    return r
```"
